,query,seed_keyword,competition,avg_cpc,1,2,3,4,5,6,7,8,9,10,11,12
0,eurostar,train paris london,0.16,0.43,60500,201000,246000,301000,301000,246000,301000,301000,201000,201000,201000,201000
1,paris londres train,train paris london,4.45,0.14,880,2400,4400,5400,4400,5400,6600,4400,5400,4400,3600,4400
2,paris londres eurostar,train paris london,2.31,0.05,480,1900,4400,4400,3600,5400,6600,5400,5400,5400,5400,6600
3,paris londres pas cher,train paris london,12.04,0.14,90,880,2900,3600,4400,5400,6600,4400,4400,3600,2900,2900
4,eurostar londres paris,train paris london,0.97,0.08,390,1600,14800,1300,1300,1600,14800,1600,1000,3600,8100,1600
5,billet eurostar,train paris london,4.82,0.14,590,1900,3600,4400,3600,3600,4400,4400,3600,2900,2900,2900
6,paris londres bus,train paris london,4.23,0.06,210,880,2400,2400,2900,2900,3600,2400,2900,2900,2400,2400
7,train londres paris,train paris london,3.5,0.08,390,1300,1600,1600,1600,1900,1900,1600,1300,1300,1000,1300
8,bus londres paris,train paris london,3.31,0.04,90,590,1000,880,1600,1300,1300,1000,1300,1300,1000,1300
9,paris londre train,train paris london,2.41,0.11,170,390,1000,1000,880,1000,1300,880,880,720,720,720
10,londres paris,train paris london,2.44,0.13,880,2900,3600,3600,4400,4400,4400,3600,3600,3600,2900,2900
11,eurostar prix,train paris london,3.12,0.06,170,480,880,1000,1000,1300,880,1600,1300,720,390,590
12,billet eurostar pas cher,train paris london,19.17,0.22,40,320,720,1000,720,1000,1300,1000,880,880,880,1000
13,eurostar gare du nord,train paris london,0.11,0.0,140,590,1000,1300,1300,1600,1600,1900,1900,1900,1900,1900
14,paris londres en train,train paris london,2.12,0.06,50,110,320,390,260,480,480,320,320,260,210,320
15,eurostar pas cher,train paris london,9.0,0.16,70,880,1600,1600,1600,4400,1900,1900,2900,2900,1300,1600
16,paris londre pas cher,train paris london,6.02,0.11,20,110,210,210,260,320,390,260,320,210,260,320
17,prix eurostar,train paris london,0.35,0.06,260,480,1000,1000,1000,1000,1000,1000,1000,880,590,880
18,tgv londres paris,train paris london,1.53,0.15,50,170,210,210,210,260,260,210,170,170,170,170
19,eurostar promo,train paris london,2.38,0.0,90,720,1600,2400,1300,1900,2400,2400,1600,2400,1900,1900
20,tarif eurostar,train paris london,2.91,0.06,110,210,720,880,590,590,880,590,720,480,480,720
21,eurostar horaires,train paris london,0.42,0.06,320,1000,1900,1900,2900,1900,1900,2400,2400,2400,1600,1900
22,sncf eurostar,train paris london,0.0,0.0,110,390,480,720,880,590,590,720,480,480,480,480
23,reservation eurostar,train paris london,0.33,0.0,90,260,480,590,590,480,590,390,390,320,390,390
24,paris londres en bus,train paris london,0.0,0.0,20,70,170,210,260,260,320,210,260,320,210,210
25,eurostar tarif,train paris london,5.01,0.0,50,110,320,390,320,390,390,590,590,480,320,480
26,eurostar reservation,train paris london,0.17,0.0,90,260,320,390,480,480,320,480,320,320,260,320
27,paris londres train pas cher,train paris london,2.86,0.06,10,70,480,390,260,320,590,390,480,480,320,320
28,billet londres paris,train paris london,5.38,0.09,70,320,480,590,590,590,590,590,480,390,320,390
29,paris londres sncf,train paris london,2.6,0.0,10,40,90,90,90,110,140,140,110,110,110,90
30,londre train,train paris london,3.94,0.12,30,70,210,210,210,210,260,210,170,140,110,140
31,horaires eurostar,train paris london,0.0,0.0,140,720,1300,1300,1600,1300,1300,1300,1000,1300,1300,1300
32,billet eurostar pas cher derniere minute,train paris london,0.0,0.0,10,140,480,390,390,260,590,320,390,480,390,480
33,londres paris train,train paris london,3.04,0.06,170,590,720,880,590,720,880,590,480,480,480,390
34,eurostar billet,train paris london,1.36,0.32,210,720,1000,1600,1300,2400,1300,2400,1000,720,590,720
35,billet paris londres,train paris london,8.89,0.12,170,880,1900,2400,2400,2400,2900,2400,1900,1600,1300,1600
36,promo eurostar,train paris london,0.0,0.0,10,170,590,1000,390,720,880,880,480,390,480,590
37,ticket eurostar,train paris london,0.0,0.0,30,50,90,110,110,90,110,90,110,90,70,90
38,gare du nord eurostar,train paris london,0.0,0.0,90,390,880,880,1000,1000,1000,1000,1000,1000,1000,1300
39,tgv paris londre,train paris london,3.9,0.0,10,40,50,90,90,70,90,90,70,70,70,40
40,paris londres tgv,train paris london,4.76,0.12,30,90,260,260,590,590,480,260,260,170,170,140
41,paris londres en eurostar,train paris london,3.06,0.06,10,40,140,110,90,90,110,90,90,70,50,70
42,paris londre en train,train paris london,2.26,0.17,20,30,90,110,90,110,140,90,90,50,70,50
43,londre en train,train paris london,6.59,0.11,10,30,70,110,110,90,140,110,110,50,70,70
44,billet de train eurostar,train paris london,0.65,0.26,40,90,170,170,170,210,260,210,210,170,140,140
45,paris londres bus pas cher,train paris london,35.71,0.0,10,50,110,140,110,90,170,70,140,90,90,110
46,londres paris eurostar,train paris london,1.73,0.05,110,390,390,390,590,390,590,720,880,720,480,720
47,train pour londre,train paris london,2.38,0.06,30,70,140,140,170,170,210,140,140,110,70,110
48,paris londres eurostar pas cher,train paris london,0.0,0.0,10,20,40,50,70,140,110,50,50,40,40,30
49,paris londres pas cher avion,train paris london,0.0,0.0,0,20,70,70,90,90,140,70,70,40,50,70
50,billet train paris londre,train paris london,9.52,0.09,10,20,50,50,70,70,110,90,90,70,50,50
51,tgv eurostar,train paris london,0.11,0.0,140,210,210,210,260,210,210,170,170,170,140,140
52,londre eurostar,train paris london,0.71,0.0,20,50,140,170,210,210,210,170,170,140,110,140
53,paris londres pas cher train,train paris london,0.0,0.06,0,30,40,50,50,110,90,50,70,70,40,40
54,eurostar billet pas cher,train paris london,0.0,0.0,10,50,90,170,110,170,170,110,110,140,140,170
55,prix billet eurostar,train paris london,2.12,0.26,50,90,170,170,170,170,170,170,170,140,110,140
56,trajet eurostar,train paris london,0.0,0.0,110,260,590,480,480,390,590,390,590,390,320,390
57,paris angleterre train,train paris london,1.19,0.21,20,20,70,70,70,40,110,70,110,90,50,40
58,eurostar sncf,train paris london,0.0,0.0,90,210,260,320,480,480,480,390,260,260,170,210
59,billet londre,train paris london,14.29,0.12,50,210,480,590,590,720,720,590,390,320,260,320
60,paris londres pas cher eurostar,train paris london,0.0,0.0,10,10,20,20,10,10,20,10,10,20,20,30
61,billet train londre,train paris london,0.95,0.34,10,40,110,110,140,140,170,170,140,90,70,90
62,paris londre,train paris london,5.09,0.11,390,1300,2900,3600,3600,4400,5400,3600,3600,2400,2400,2400
63,paris londre en bus,train paris london,0.0,0.0,10,20,30,50,50,50,70,40,50,50,40,30
64,billet de train londres paris,train paris london,11.02,0.1,30,110,140,140,170,140,260,210,140,90,70,70
65,tgv londre,train paris london,0.0,0.0,20,20,50,70,90,90,90,90,50,50,50,40
66,billet train eurostar,train paris london,2.2,0.0,10,50,90,110,110,140,140,110,140,90,70,110
67,billet londres,train paris london,9.6,0.1,210,720,1900,2400,2400,2400,2900,2400,1600,1600,1300,1300
68,paris londres pas cher bus,train paris london,21.43,0.11,10,10,20,20,40,20,50,20,50,40,30,20
69,billet train londres paris,train paris london,6.59,0.06,30,70,70,140,110,170,210,170,170,90,70,70
70,paris londres low cost,train paris london,0.0,0.0,20,30,40,40,50,40,40,30,20,20,10,20
71,paris a londres eurostar,train paris london,0.0,0.0,10,10,10,10,10,20,10,10,10,20,10,10
72,paris londres thalys,train paris london,0.0,0.0,10,20,40,70,50,70,50,40,40,30,10,20
73,londres paris bus,train paris london,2.76,0.11,30,210,320,260,480,390,390,320,480,390,320,320
74,paris londres aller retour,train paris london,5.19,0.14,10,40,70,140,110,110,140,110,70,70,90,50
75,londres eurostar,train paris london,1.25,0.04,110,390,1000,1300,1000,1300,1600,1300,1000,880,720,880
76,gare eurostar,train paris london,0.0,0.0,50,110,210,210,260,260,260,210,260,260,210,260
77,train paris londres,train paris london,2.44,0.06,720,2900,6600,8100,6600,8100,9900,6600,5400,5400,4400,5400
78,train londres,train paris london,1.96,0.11,260,1000,2900,3600,2900,3600,3600,2900,2400,1900,1600,1900
79,paris londre tgv,train paris london,2.6,0.06,10,20,40,90,90,110,140,110,90,70,70,70
80,paris londres shuttle,train paris london,0.0,0.0,10,10,40,50,50,50,50,30,40,30,10,30
81,promotion eurostar,train paris london,0.0,0.0,10,70,210,390,140,260,260,320,210,170,170,210
82,transport londres,train paris london,0.63,0.86,210,720,1900,1900,1900,1900,2400,1600,1600,1300,1000,1600
83,billet de train,train paris london,28.16,0.13,33100,110000,201000,201000,165000,201000,246000,201000,246000,301000,246000,201000
84,offre eurostar,train paris london,0.0,0.0,10,50,170,320,110,210,260,260,170,170,140,170
85,eurostar réservation,train paris london,0.0,0.0,20,50,70,70,90,70,70,70,40,40,70,70
86,eurostar paris londres,train paris london,1.49,0.28,1300,4400,9900,27100,9900,9900,27100,9900,8100,8100,6600,8100
87,depart eurostar,train paris london,0.0,0.0,50,140,320,260,320,260,260,210,320,320,210,260
88,eurostar lille londres,train paris london,0.34,0.3,480,1000,1900,4400,2900,3600,3600,5400,1900,1900,2900,3600
89,train pour londres,train paris london,6.87,0.08,210,590,1300,1600,1600,1600,1900,1300,1300,1000,880,1000
90,horaires eurostar londres paris,train paris london,0.42,0.0,30,170,320,320,480,320,390,390,320,390,320,260
91,paris londres par train,train paris london,2.86,0.0,10,10,20,20,20,10,10,10,10,20,10,10
92,paris londres billet,train paris london,9.52,0.0,10,40,90,90,70,90,110,110,50,50,40,70
93,carte eurostar,train paris london,0.0,0.0,30,70,110,140,110,140,140,170,140,140,110,110
94,billet de train eurostar pas cher,train paris london,0.0,0.0,10,10,20,20,10,20,20,30,30,50,30,30
95,eurostar londres,train paris london,0.11,0.06,1600,2900,3600,4400,4400,5400,4400,2900,2400,2400,1900,2400
96,voyage eurostar,train paris london,0.41,0.0,30,90,40,50,30,40,30,90,40,40,30,50
97,aller retour londres,train paris london,4.22,0.19,40,210,480,720,720,720,880,720,590,480,390,480
98,reservation eurostar pas cher,train paris london,0.0,0.0,0,0,10,10,10,10,10,10,10,10,10,10
99,paris londres en bus pas cher,train paris london,0.0,0.0,0,10,10,10,20,20,20,10,10,10,10,10
100,billet pour londre,train paris london,15.67,0.13,30,70,140,170,260,260,260,170,170,140,110,110
